시  험  성  적  서  (발췌·가상)
시험기관: ○○시험원      시험번호: TR-2026-0508-X      제품: 모델X (가전)
시험일자: 2026-05-06 ~ 2026-05-07

아래는 안전시험 항목 표입니다. (스캔본 일부 흐림 — 측정값 칸 2개 판독 불가, ?? 표기)

시험항목 | 규격조항 | 요구값 | 측정값 | 판정 | 비고
---|---|---|---|---|---
입력시험 | KC 60335-1 4.10 | 정격의 ±10% 이내 | 220V / 0.41A | 적합 |
가열시험 (정상) | KC 60335-1 11 | 권선 ≤ 90K 상승 | 67.2K | 적합 |
가열시험 (이상) | KC 60335-1 19 | 발화·용융 없을 것 | 이상 없음 | 적합 |
누설전류 (상온) | KC 60335-1 16.2 | ≤ 0.25 mA | 0.08 mA | 적합 |
누설전류 (가열후) | KC 60335-1 13 | ≤ 0.5 mA | 0.14 mA | 적합 |
절연저항 | KC 60335-1 16.3 | ≥ 2 MΩ | ?? | 적합 | 스캔 흐림 — 원본 확인 필요
전기적 강도 | KC 60335-1 16.3 | 1250V 1분 견딜 것 | 이상 없음 | 적합 |
기계적 강도 | KC 60335-1 21 | 충격 후 위험 없을 것 | 이상 없음 | 적합 |
연면거리·공간거리 | KC 60335-1 29 | 규정 거리 이상 | 충족 | 적합 |
내열·내화 | KC 60335-1 30 | 글로우와이어 750℃ | 적합 | 적합 |
소비전력 | KC 60335-1 10 | 정격의 +5%/-10% | ?? | 적합 | 13행 스캔 겹침 — 원본 확인 필요
접지연속성 | KC 60335-1 27 | ≤ 0.1 Ω | 0.03 Ω | 적합 |

이상으로 발췌를 마칩니다. (RoHS 유해물질 항목은 별도 분석성적서 참조)
